Key	Type	Desc	Português [c0]
Items/CritterCockroachDesc	Text		Um inseto nojento que se move com uma velocidade incrível. É comum encontrá-lo em locais escuros, sujos e com comida para oferecer.
Items/CritterCrab	Text		Pincher Lunar
Items/CritterCrab2	Text		Sol Pincher
Items/CritterCrab2Desc	Text		Este crustáceo vermelho-amarelo está sempre com as garras levantadas o que lhe confere uma expressão aparentemente feliz.
Items/CritterCrabDesc	Text		Este crustáceo azul-púrpura está sempre com as garras levantadas o que lhe confere uma expressão aparentemente feliz.
Items/CritterGrasshopper	Text		cigarrinha
Items/CritterGrasshopperDesc	Text		Um garotinho muito nervoso. O menor sinal de perigo faz com que ele salte para a segurança.
Items/CritterLarva	Text	"Except for Englisch and German it should be translated as ""Small Larva"""	larvlet
Items/CritterLarvaDesc	Text		Uma larva minúscula que não faz mal a voce, mas gosta de ser recolhida e segurada em mãos quentes.
Items/CritterScorpion	Text		Pequena Morte
Items/CritterScorpionDesc	Text		Este pequeno escorpião é inofensivo para os humanos, mas pode facilmente matar criaturas menores se precisar de comida.
Items/CritterWorm	Text		Minhoca
Items/CritterWormDesc	Text		Uma minhoca. Nada de especial nisso.
Items/CrossCircuit	Text		Circuito Cruzado
Items/CrossCircuitDesc	Text		Separa fios horizontais e verticais. Útil para permitir o cruzamento de fios sem conectar a eletricidade. A direção das conexões pode ser alterada interagindo com o circuito.
Items/CrownSquid	Text		lula coroa
Items/CrownSquidDesc	Text		Todos saúdam o pálido rei da água!
Items/CrystalLamp	Text		candeeiro de cristal
Items/CrystalLampDesc	Text		Esta tocha alta parece gerar fogo ao transformar a energia de uma pedra preciosa antiga.
Items/CrystalMeteorShard	Text		Caco de Meteoro de Cristal
Items/CrystalMeteorShardDesc	Text		Esta peça é apenas uma fração de uma enorme pedra preciosa antiga.
Items/CrystalMeteorShardOffhand	Text		Pedaço de Meteoro de Cristal
Items/CrystalMeteorShardOffhandDesc	Text		Uma grande pedra preciosa antiga fundida a partir de fragmentos menores. Ele emite uma energia estranha que faz voce se sentir enjoado e febril.
Items/CrystalSpearhead	Text		ponta de lança de cristal
Items/CrystalSpearheadDesc	Text		As sobras de uma arma pré-histórica bruta feita com uma pedra preciosa antiga. Pode ter ajudado os primeiros humanos a caçar com mais eficiencia.
Items/CrystalSphere	Text		esfera de cristal
Items/CrystalSphereDesc	Text		Uma pequena esfera feita de vidro azul-escuro. Seu propósito é desconhecido.
Items/CrystalStar	Text		estrela de cristal
Items/CrystalStarDesc	Text		Uma estrela de vidro dourada para decorar a base de forma festiva. Melhor não deixar cair.
Items/CrystalWater	Text		água cristalina
Items/CrystalWaterDesc	Text		Água cristalina que foi filtrada por pedras preciosas antigas.
Items/CupidBow	Text		arco do cupido
Items/CupidBowDesc	Text		Um arco que atinge o coração de seu alvo e tem a chance de encantá-lo com o arqueiro.
Items/CupidBreastArmor	Text		túnica cupido
Items/CupidBreastArmorDesc	Text		Ao vestir esta túnica, sente-se como se tivesse sido enviado dos céus para espalhar o amor.
Items/DaggerFin	Text		Dagger Fin
Items/DaggerFinDesc	Text		As escamas deste peixe são finas como lâminas de barbear.
Items/DarkBlueKelp	Text		Kelp azul escuro
Items/DarkBlueKelpDesc	Text		Um caroço azul escuro de plantas marinhas, não muito útil.
Items/DarkLavaEater	Text		Devorador de Lava Negra
Items/DarkLavaEaterDesc	Text		Um peixe escuro com barriga de fogo que parece se alimentar puramente de pedra líquida e das gemas capturadas dentro.
Items/DataSlate	Text		Placa de Dados
Items/DataSlateDesc	Text		Um disco de pedra com gravuras peculiares, deve conter registros misteriosos.
Items/DecorativePot	Text		Vaso Decorativo
Items/DecorativePotDesc	Text		Adicionar uma planta a ele fará uma bela decoração.
Items/DecorativeTorch1	Text		Tocha Decorativa
Items/DecorativeTorch1Desc	Text		Uma alternativa mais segura e de melhor aparencia às tochas rudimentares.
Items/DelayCircuit	Text		circuito de atraso
Items/DelayCircuitDesc	Text		Armazena a entrada de eletricidade e a envia durante intervalos de 1 segundo.
Items/DesertBreastArmor	Text		Arnes de Paladino
Items/DesertBreastArmorDesc	Text		Um peitoral dourado com tecido solto costurado que faz voce se sentir como um guerreiro furtivo do deserto.
Items/DesertBush	Text		arbusto do deserto
Items/DesertBushDesc	Text		Um arbusto seco que pode viver centenas de anos sem água.
Items/DesertCavelingMoss	Text		musgo do vale
Items/DesertCavelingMossDesc	Text		Plantas terrestres encontradas no Deserto dos Primórdios. Eles cultivam flores perfumadas que atraem cavernosos da área correspondente.
Items/DesertDestructible	Text		vaso de flores do deserto
Items/DesertDestructibleDesc	Text		Uma planta seca contendo pilhagem natural do deserto.
Items/DesertDiamond	Text		diamante do deserto
Items/DesertDiamondDesc	Text		Um cristal muito raro brilhando com uma bela luz branca.
Items/DesertHelm	Text		máscara de paladino
Items/DesertHelmDesc	Text		Um equipamento misterioso com uma máscara dourada. Parece ter sido concedido a guerreiros de alto escalão.
Items/DesertPantsArmor	Text		Calça Paladino
Items/DesertPantsArmorDesc	Text		Calças de harém largas feitas para lutar, juntamente com um conjunto de sapatos dourados pontiagudos.
Items/DesertRock1	Text		Rocha do Deserto
Items/DesertRock1Desc	Text		Um pedregulho de arenito de tamanho médio.
Items/DesertRock2Left	Text		Grande Arco de Rocha Voltado para a Esquerda
Items/DesertRock2LeftDesc	Text		Um grande arco de arenito, voce não tem certeza de como cabe na sua mochila.
Items/DesertRock2Right	Text		Grande Arco de Rocha Voltado para a Direita
Items/DesertRock2RightDesc	Text		Um grande arco de arenito, voce não tem certeza de como cabe na sua mochila.
Items/DesertRock3Left	Text		Arco de rocha gigante virado para a esquerda
Items/DesertRock3LeftDesc	Text		Um arco de arenito gigante, voce não tem certeza de como cabe na sua mochila.
Items/DesertRock3Right	Text		Arco de rocha gigante virado para a direita
Items/DesertRock3RightDesc	Text		Um arco de arenito gigante, voce não tem certeza de como cabe na sua mochila.
Items/DesertRockSmall	Text		Pequena Rocha do Deserto
Items/DesertRockSmallDesc	Text		Um pequeno pedregulho de arenito seco.
Items/DesertTempleDestructible	Text		caixote do templo
Items/DesertTempleDestructibleDesc	Text		Uma caixa antiga cheia de mercadorias de uma antiga civilização do deserto.
Items/DevilWorm	Text		verme do diabo
Items/DevilWormDesc	Text		Uma cria do inferno que mora no fundo do mar. Não pise nele.
Items/DistilledSlime	Text		Amor destilado
Items/DistilledSlimeDesc	Text		Esta bebida feita de limo rosa raro tem gosto de açúcar de algodão e faz seu coração palpitar.
Items/DistilleryTable	Text		Mesa Destilaria
Items/DistilleryTableDesc	Text		Uma bancada para produzir poções e explosivos mais avançados.
Items/DiverArmor	Text		Manto de Kelp
Items/DiverArmorDesc	Text		Uma armadura superior feita de longos fios de algas. Agora voce se sente como uma verdadeira criatura do mar.
Items/DiverHelm	Text		capacete de mergulho
Items/DiverHelmDesc	Text		Este pesado pedaço de metal foi usado para explorar águas profundas, infelizmente está vazando agora. Ainda funciona como uma bela peça de armadura.
Items/DiverNecklace	Text		Colar de Netuno
Items/DiverNecklaceDesc	Text		Um verdadeiro berloque do mar, feito de algas marinhas e pingente de tridente. Confundindo voce com um governante mítico do mar, os peixes vem até voce com mais frequencia.
Items/DiverPantsArmor	Text		barbatanas de mergulho
Items/DiverPantsArmorDesc	Text		Calçado barulhento feito de um material semelhante à borracha. Está desconfortavelmente molhado.
Items/DiverRing	Text		anel de peixinho
Items/DiverRingDesc	Text		Um pequeno anel bastante animado que tenta sair nadando do seu dedo. No momento em que percebe que é apenas um anel, já o esqueceu novamente.
Items/DoubleRing	Text		Anel duplo
Items/DoubleRingDesc	Text		Este anel é feito para ser colocado em dois dedos ao mesmo tempo. Revolucionário.
Items/Dresser	Text		Aparador
Items/DresserDesc	Text		Permite alterar o equipamento mostrado em seu personagem.
Items/DriftwoodStool	Text		banquinho de madeira flutuante
Items/DriftwoodStoolDesc	Text		Um banquinho simples feito com materiais de praia.
Items/DriftwoodTable	Text		Mesa de Madeira Flutuante
Items/DriftwoodTableDesc	Text		Alguém fez isso com materiais flutuando na água.
Items/Drill	Text		Furadeira
Items/DrillDesc	Text		Pode perfurar lentamente através de materiais mais resistentes, como pedras de minério, quando alimentado com eletricidade.
Items/DryButterfly	Text		Borboleta Seca
Items/DryButterflyDesc	Text		Um inseto morto sem umidade. É bonito de se ver, mas precisa ser manuseado com cuidado.
Items/DynamitePack	Text		pacote de dinamite
Items/DynamitePackDesc	Text		Este pacote compacto de explosivos pode ser detonado em segurança com um gatilho externo.
Items/EarPlate	Text		placa auricular
Items/EarPlateDesc	Text		Brinco quadrado folheado a ouro.
Items/EarlyHumanSkull	Text		Crânio humano primitivo
Items/EarlyHumanSkullDesc	Text		Restos de um ser humano que viveu há cerca de 200.000 anos. A humanidade já encontrou essas cavernas antes?
Items/EasterAzeosTrophy	Text		Estatueta Azeos Desperto
Items/EasterAzeosTrophyDesc	Text		Uma representação realista única dos Azeos Despertos.
Items/EasterChest	Text		Baú do Titã Dourado
Items/EasterChestDesc	Text		Uma variante única do grande baú antigo.
Items/EasterChickenHat	Text	 	Chapéu de Galinha
Items/EasterChickenHatDesc	Text	 	Um chapéu de galinha com cara de maluco que vai ser o centro das atenções na próxima festa.
Items/EasterChickenPants	Text	 	Calça de Frango
Items/EasterChickenPantsDesc	Text	 	Estas calças chamativas são indutoras de pele de galinha e completam o visual de uma fantasia de páscoa com menção de ovo.
Items/EasterChickenSuit	Text	 	Pedaço De Peito De Frango
Items/EasterChickenSuitDesc	Text	 	Penas que coçam e uma relativa falta de ventilação tornam esta peça de corpo de galinha uma escolha ousada de roupa.
Items/EasterDaisyFloorspread	Text	 	Piso de Margarida
Items/EasterDaisyFloorspreadDesc	Text	 	Um punhado de margaridas, feitas para espalhar um pouco de primavera no chão.
Items/EasterEggClay	Text		ovo de páscoa rosa
Items/EasterEggClayDesc	Text		Um ovo colecionável nojento que pode ser combinado com outros tipos de ovos. Pegue o máximo que puder, eles podem não durar muito.
Items/EasterEggDirt	Text		ovo de páscoa marrom
Items/EasterEggDirtDesc	Text		Um ovo colecionável sujo que pode ser combinado com outros tipos de ovos. Pegue o máximo que puder, eles podem não durar muito.
Items/EasterEggFlowerpot	Text	 	Vaso de Ovo de Páscoa
Items/EasterEggFlowerpotDesc	Text	 	Vegetação e margaridas saem deste vaso em forma de ovo. Eles se assemelham ao despertar da primavera.
Items/EasterEggLamp	Text	 	Abajur Ovo de Pascoa
Items/EasterEggLampDesc	Text	 	Ilumine sua base com esta lâmpada decorativa, com um ovo de páscoa dourado em um ninho de vegetação.
Items/EasterEggNature	Text		ovo de pascoa verde
Items/EasterEggNatureDesc	Text		Um ovo colecionável com ervas daninhas que pode ser combinado com outros tipos de ovos. Pegue o máximo que puder, eles podem não durar muito.
Items/EasterEggStone	Text		ovo de páscoa cinza
Items/EasterEggStoneDesc	Text		Um ovo colecionável rochoso que pode ser combinado com outros tipos de ovos. Pegue o máximo que puder, eles podem não durar muito.
Items/EasterEggcellentHat	Text	 	Chapéu Ovocelente
Items/EasterEggcellentHatDesc	Text	 	Todos os que usam este chapéu enorme de casca de ovo têm apenas uma missão: tornar-se um ovo.
Items/EasterEggcellentPants	Text	 	Calça Ovocelente
Items/EasterEggcellentPantsDesc	Text	 	Essas calças de fabricação barata são amarelas como gema de ovo e coçam além da compreensão.
Items/EasterEggcellentSuit	Text	 	Peitoral de Peças de Ovocelente
Items/EasterEggcellentSuitDesc	Text	 	Uma forma oval espaçosa que é feita de esperanças, sonhos e cal. Em outras palavras: Ovo.
Items/EasterGarland	Text	 	Guirlanda de Páscoa
Items/EasterGarlandDesc	Text	 	Esta encantadora guirlanda verde é adornada com pequenas margaridas, tornando-a um complemento perfeito para suas paredes temáticas de Páscoa.
Items/EasterGoldenEgg	Text		Ovo Dourado Grande
Items/EasterGoldenEggDesc	Text		Um ovo cristalino dourado criado a partir de muitos outros menores. Pode ser usado para algo mais do que apenas decoração...
Items/EasterMeadowStool	Text	 	Banquinho de Páscoa
Items/EasterMeadowStoolDesc	Text	 	Sentado neste banquinho é como se estivesse sentado em um prado recém-cortado. Não há lugar melhor para colocar as nádegas.
Items/EasterMeadowTable	Text	 	Mesa de Páscoa
Items/EasterMeadowTableDesc	Text	 	Coloque seus pertences nesta mesa macia e coberta de mato que se encaixa em qualquer base com tema da natureza.
Items/EasterPedestal	Text	 	Pedestal de Páscoa
Items/EasterPedestalDesc	Text	 	Uma pequena mesa 1x1 feita de pedra de cor creme e uma pequena folha como tampa. Simples, prático e ainda em sintonia com o espírito da Páscoa.
Items/EasterPillar	Text	 	Pilar da Páscoa
Items/EasterPillarDesc	Text	 	Um belo pilar decorativo, sustentando no alto um vaso com flores primaveris. Uma maneira perfeita de saudar a nova temporada.
Items/EasterWorkbench	Text	 	Mesa de Trabalho de Páscoa
Items/EasterWorkbenchDesc	Text	 	Esta pequena mesa de trabalho contém os materiais certos para criar uma seleção de decorações com temas de primavera e Páscoa.
Items/ElderDragonfish	Text		Peixe Dragão Ancião
Items/ElderDragonfishDesc	Text		Um peixe draconiano com várias centenas de anos. A cor verdejante de suas escamas há muito se desvaneceu.
Items/ElectricalDoor	Text		Porta Elétrica
Items/ElectricalDoorDesc	Text		Abre quando alimentado com eletricidade.
Items/ElectricalWire	Text		Fio elétrico
Items/ElectricalWireDesc	Text		Conecta fontes de eletricidade a máquinas e aparelhos.
Items/ElectricityGenerator	Text		gerador de eletricidade
Items/ElectricityGeneratorDesc	Text		Alimenta fios e objetos com eletricidade.
Items/ElectricityStick	Text		bastão de eletricidade
Items/ElectricityStickDesc	Text		Emite uma eletricidade muito baixa que é muito baixa para alimentar objetos, mas útil para alterar o comportamento dos circuitos lógicos.
Items/ElectronicsTable	Text		Mesa Eletrônica
Items/ElectronicsTableDesc	Text		Bancada de trabalho para criar sistemas elétricos e lógicos.
Items/EmberPit	Text		Poço de Brasas
Items/EmberPitDesc	Text		O cinza permanece nele, sugerindo que ele foi usado para endurecer metais em seus incendios por um longo período de tempo.
Items/EmeraldFeatherFish	Text		Peixe Pena Esmeralda
Items/EmeraldFeatherFishDesc	Text		Um lindo peixe verde com escamas que parecem penas.
Items/EmptyGrave	Text		túmulo invadido
Items/EmptyGraveDesc	Text		Seu vazio é a prova dos atos blasfemos dos invasores de túmulos.
Items/EnchantedRose	Text		Rosa Encantada
Items/EnchantedRoseDesc	Text		É uma referência a A Bela e a Fera. A tradução alemã tem uma redação diferente para se assemelhar à frase alemã usada no filme sobre a maldição da rosa encantada. Por favor, tente tratá-lo igualmente para outros idiomas, pode ser necessário um pouco de pesquisa para amar o outro e ganhar seu amor em troca.
Items/EnhydroCrystal	Text		Enhydro Crystal
Items/EnhydroCrystalDesc	Text		A água antiga é encapsulada neste lindo cristal. Está lá há milhões de anos.
Items/EnragePotion	Text		Poção Enfurecedora
Items/EnragePotionDesc	Text		Um elixir forte que fortalece seus músculos e seu temperamento.
Items/EostreNecklace	Text		Colar Eostre
Items/EostreNecklaceDesc	Text		Um galho curvo segurando um ovo de ouro na ponta. É um sinal de renovação e fertilidade.
Items/EvilEyeCandy	Text		colírio de mau-olhado
Items/EvilEyeCandyDesc	Text		A criação mais perversa de todas, seu sabor é um insulto aos vivos. Alcaçuz preto.
Items/ExplorerBackpack	Text		Mochila Explorer
Items/ExplorerBackpackDesc	Text		Uma mochila simples feita para viajar pelas cavernas subterrâneas. Comporta alguns itens.
